atk_soft_attack,atk_hard_attack,atk_breakthrough,atk_org,atk_armor,atk_hardness,atk_supply,def_defense,def_soft_attack,def_hard_attack,def_org,def_piercing,def_entrenchment,def_supply,terrain_mod,fort_level,cas_support,victory
266,344,151,71,65,0.23,0.97,624,86,202,71,5,13,0.4,0.8,2,0,1
220,88,499,39,108,0.4,0.78,889,337,220,45,40,13,0.34,0.6,5,0,0
602,123,409,40,92,0.97,0.85,770,510,221,70,52,11,0.81,0.6,0,0,1
564,30,93,60,26,0.49,0.53,670,516,111,60,100,16,0.52,0.6,0,0,0
600,323,76,74,72,0.15,0.85,154,44,72,65,105,23,0.63,0.8,3,1,1
583,84,361,79,2,0.58,0.72,888,287,150,72,74,13,0.73,0.8,1,1,1
171,298,461,32,104,0.72,0.78,396,382,123,61,73,24,0.98,0.4,0,0,0
777,187,481,53,35,0.39,0.97,368,314,11,41,30,22,0.38,0.9,10,1,1
546,353,158,31,119,0.91,0.49,629,481,273,49,41,23,0.68,0.8,0,0,0
716,303,402,46,43,0.23,0.34,347,306,21,73,35,14,0.73,0.4,5,0,0
549,250,377,46,79,0.69,0.38,176,232,192,55,22,2,0.35,0.8,10,0,1
306,296,211,52,10,0.82,0.49,194,104,149,69,64,14,0.33,0.8,2,0,1
158,233,303,77,103,0.7,0.46,611,498,286,72,40,16,0.55,0.8,0,1,0
157,17,324,37,112,0.69,0.84,355,376,87,67,9,25,0.98,0.9,10,0,0
517,151,254,42,96,0.35,0.97,993,391,215,40,15,18,0.73,0.6,0,0,1
543,104,217,65,105,0.21,0.61,281,295,229,48,67,17,0.3,0.8,10,0,0
711,231,360,60,66,0.54,0.91,712,268,33,42,14,1,0.43,1.0,1,0,1
747,232,470,72,70,0.82,0.5,534,599,131,40,96,5,0.95,0.9,0,0,1
548,288,398,31,118,0.73,0.72,967,266,96,43,81,10,0.63,0.6,3,1,1
744,383,326,47,82,0.59,0.7,763,575,233,38,56,10,0.39,0.8,0,1,1
427,17,132,68,110,0.97,0.8,886,388,70,49,15,24,0.65,1.0,0,0,1
549,173,70,68,96,0.39,0.54,737,366,72,64,6,16,0.47,0.6,0,0,0
96,268,268,60,93,0.37,0.67,452,517,229,34,8,13,0.85,0.9,0,1,1
556,323,213,66,81,0.32,0.76,628,316,24,31,12,5,0.58,0.4,5,1,1
347,221,316,49,79,0.73,0.69,169,488,278,30,35,2,0.99,0.8,0,1,1
547,213,118,32,27,0.22,0.7,978,349,148,60,98,8,0.87,0.4,0,0,0
130,319,383,38,86,0.31,0.78,536,89,280,39,101,7,0.48,0.6,3,1,1
109,196,226,38,34,0.78,0.45,999,269,300,74,78,1,0.34,1.0,10,0,0
543,75,255,69,29,0.74,0.31,281,338,300,76,31,23,0.69,1.0,1,0,1
151,295,117,40,35,0.43,0.35,284,414,270,43,8,0,0.76,1.0,0,1,0
542,285,30,71,27,0.29,0.88,309,350,94,52,72,21,0.34,0.6,0,0,1
207,29,45,71,66,0.85,1.0,706,375,198,61,101,15,0.76,0.6,3,1,0
213,344,307,68,119,0.1,0.79,937,56,176,57,116,1,0.49,0.4,0,0,1
767,248,286,33,101,0.79,0.33,313,589,295,57,97,15,0.37,0.4,5,0,0
238,174,155,73,102,0.3,0.75,965,443,141,71,97,17,0.38,0.6,2,0,0
344,363,341,30,43,0.14,0.39,225,45,254,41,88,5,0.59,0.6,3,1,1
563,105,81,39,15,0.18,0.97,958,97,29,61,94,17,0.72,1.0,3,0,0
89,192,343,32,53,0.9,0.87,383,560,75,75,85,4,0.85,1.0,10,0,0
697,116,421,43,94,0.1,0.45,557,258,271,44,88,15,0.88,0.4,10,1,0
323,15,35,38,110,0.12,0.81,866,45,89,52,94,10,0.32,0.8,0,0,0
733,68,222,73,7,0.45,0.49,696,170,137,74,105,7,0.89,0.4,1,0,0
576,12,218,52,24,0.6,0.62,234,174,147,78,51,25,0.76,1.0,3,1,1
325,234,354,65,7,0.92,0.43,624,260,159,66,82,19,0.67,1.0,1,1,1
376,134,260,48,87,0.32,0.99,741,263,266,74,81,4,0.7,1.0,0,1,1
167,282,400,53,38,0.5,0.91,145,454,36,79,115,14,0.72,1.0,2,0,1
314,200,94,55,61,0.23,0.37,972,309,253,68,47,23,0.92,1.0,3,0,0
579,289,478,62,34,0.35,0.89,855,110,10,31,86,12,0.63,0.8,5,0,1
180,202,192,80,81,0.92,0.38,872,81,112,45,43,21,0.93,0.6,0,0,1
407,285,229,58,108,0.77,0.44,115,527,171,79,89,23,0.68,0.8,1,0,1
425,104,247,56,13,0.02,0.79,612,521,94,79,92,7,0.82,0.8,5,0,0
615,306,243,50,81,0.76,0.45,694,516,42,71,30,9,0.71,1.0,0,0,1
240,316,158,49,92,0.67,0.77,536,509,122,31,13,25,0.33,0.9,0,0,1
286,336,84,69,24,0.15,0.97,330,402,208,51,81,22,0.4,0.4,0,1,1
573,23,234,78,12,0.15,0.78,654,566,300,55,109,19,0.95,1.0,10,1,0
301,393,268,69,97,0.63,0.97,410,129,165,56,104,2,0.71,0.4,1,0,1
402,335,164,46,120,0.68,0.79,555,197,214,33,24,4,0.91,0.6,5,1,1
706,399,422,58,113,0.52,0.49,931,380,158,32,59,18,0.42,0.8,1,0,1
462,337,116,34,20,0.7,0.76,769,43,240,70,3,4,0.92,0.8,2,1,1
711,58,253,76,56,0.66,0.46,921,305,66,51,38,10,0.89,0.9,0,0,1
758,130,249,56,40,0.29,0.37,563,561,283,34,33,3,0.37,0.6,3,1,1
722,332,151,80,17,0.43,0.81,782,455,218,57,93,21,0.97,0.9,0,0,1
648,13,493,62,77,0.32,0.44,999,336,256,48,102,6,0.78,0.9,1,1,1
648,189,242,33,4,0.77,0.74,551,76,270,58,44,11,0.49,1.0,0,1,1
434,318,241,34,80,0.19,0.81,724,562,31,70,73,16,0.46,0.9,0,0,0
389,275,199,71,110,0.84,0.84,283,458,149,74,51,14,0.96,0.8,3,1,1
141,245,464,40,13,0.49,0.4,339,323,213,72,1,12,0.72,0.4,0,0,0
445,245,196,77,61,0.71,0.72,882,259,28,48,53,3,0.9,0.9,0,0,1
525,249,500,33,38,0.73,0.32,172,523,113,72,16,14,0.66,0.6,2,1,1
207,232,347,72,59,0.02,0.71,920,60,64,45,13,20,0.63,0.4,3,1,1
328,182,436,30,87,0.92,0.98,546,169,267,75,20,17,0.57,1.0,1,0,1
146,97,74,63,28,0.43,1.0,981,40,155,37,118,11,0.6,0.9,1,1,1
391,164,157,79,19,0.94,0.53,154,180,195,48,94,6,0.67,0.6,0,0,1
216,184,48,51,40,0.48,0.48,844,306,122,36,110,21,0.4,1.0,2,1,0
698,350,421,39,70,0.45,0.73,383,378,59,34,110,14,0.79,0.4,0,0,1
642,70,252,58,5,0.41,0.39,440,113,150,50,22,1,0.38,1.0,0,0,1
180,10,57,36,71,0.52,0.34,263,152,130,56,24,16,0.99,0.9,0,0,0
727,269,154,71,9,0.85,0.78,657,338,124,75,93,14,0.93,1.0,10,0,0
510,98,140,69,112,0.53,0.49,652,357,233,60,59,23,0.92,0.6,0,0,0
363,14,118,45,80,0.56,0.78,979,529,243,80,96,4,0.83,0.6,0,1,0
66,14,328,41,68,0.65,0.61,532,489,19,30,103,21,0.55,0.4,2,0,0
381,370,241,52,9,0.31,0.99,474,570,124,70,28,25,0.82,0.9,1,1,0
657,302,168,69,20,0.62,0.5,721,169,264,63,51,14,0.46,1.0,10,0,0
211,33,347,72,74,0.46,0.92,705,575,60,38,94,22,0.6,0.6,2,0,0
538,249,81,69,81,0.66,0.61,125,120,195,54,46,24,0.49,0.4,5,1,1
376,270,325,53,76,0.68,0.52,538,327,41,67,20,3,0.58,0.6,0,0,1
495,322,88,55,45,0.11,0.68,227,244,128,45,27,10,0.91,1.0,3,1,1
132,121,258,51,86,0.26,0.7,609,143,281,40,29,17,0.61,0.9,3,0,0
423,250,441,41,81,0.36,0.66,176,541,82,37,51,13,0.48,0.9,0,0,1
295,181,240,41,108,0.36,0.45,428,525,170,42,38,19,0.49,0.6,0,0,0
364,344,472,34,89,0.97,0.94,551,244,106,70,83,15,0.49,0.4,10,0,0
750,255,157,54,87,0.44,0.46,868,220,266,55,21,20,0.84,0.9,0,0,1
414,365,264,44,40,0.83,0.32,536,227,17,52,6,12,0.83,0.6,2,0,0
462,322,164,41,3,0.01,0.41,977,350,153,50,5,13,0.49,1.0,3,0,0
431,310,138,75,4,0.79,0.41,888,437,145,56,49,4,0.45,1.0,2,1,0
658,297,367,36,95,0.0,0.31,185,43,119,53,39,5,0.96,0.8,2,0,1
